workshop_type,slug_auto,acquisition_channel,why_attend
swc,2018-10-05-UCSF-Python,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.;As a requirement for my program or current position.
dc,2018-09-12-new_england_tribes_USGS,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;Need for data analysis skills for large datasets (environmental/water quality data)
swc,2018-09-22-emory,NA,NA
swc,[workshop,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-13-edinburgh,Read about the workshop in a newsletter or on university website.,To learn skills that I can apply to my current work.
swc,2018-09-22-emory,A friend or colleague told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my current work.
swc,2017-02-16-rc-days,Received an email or saw a flyer about the workshop.;A friend or colleague told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.;A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-27-ukzn,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;As a requirement for my program or current position.
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.;My advisor or supervisor told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-29-tamu-kingsville,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.
swc,2018-09-22-UTA,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-29-tamu-kingsville,"Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.;Heard about the workshop at a conference, meeting, or seminar.",To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-CERTH,"Read about the workshop in a newsletter or on university website.;A friend or colleague told me about the workshop.;Heard about the workshop at a conference, meeting, or seminar.",To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.;As a requirement for my program or current position.
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.
dc,2018-09-27-ukzn,My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2017-02-16-rc-days,NA,NA
dc,2018-09-13-edinburgh,Read about the workshop in a newsletter or on university website.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my work in the future.
dc,2018-09-24-cambridge,Received an email or saw a flyer about the workshop.,To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that will help me get a job or a promotion.
dc,Swansea-2018-09-20,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.;R specifically
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-09-24-Imperial,searching courses on ICL's website,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-10-jax,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-12-new_england_tribes_USGS,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.;bring back knowledge to my tribe
dc,Swansea-2018-09-20,A friend or colleague told me about the workshop.,To learn skills that I can apply to my current work.
swc,2018-09-24-koper,"Received an email or saw a flyer about the workshop.;Saw the workshop advertised on social media (Twitter, Facebook, etc.).",To learn new skills.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-CERTH,NA,NA
dc,2018-09-13-edinburgh,Read about the workshop in a newsletter or on university website.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.;A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,[workshop,NA,NA
swc,2018-09-21-sc,NA,NA
swc,2018-10-05-UCSF-Python,A friend or colleague told me about the workshop.,To learn new skills.
swc,2018-09-24-Imperial,NA,NA
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-09-24-CERTH,A friend or colleague told me about the workshop.,To refresh or review my skills.
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-09-21-sc,My advisor or supervisor told me about the workshop.,To learn skills that I can apply to my current work.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my work in the future.
swc,2018-09-21-sc,My advisor or supervisor told me about the workshop.,To learn new skills.
swc,2018-09-24-koper,NA,NA
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-10-jax,My advisor or supervisor told me about the workshop.,To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-29-tamu-kingsville,NA,NA
swc,2018-09-24-Imperial,NA,NA
dc,2018-09-27-ukzn,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.;A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.
swc,2018-10-01-UW-swc,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
dc,2018-09-12-new_england_tribes_USGS,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,NA,NA
swc,2018-09-24-Imperial,A friend or colleague told me about the workshop.,To learn new skills.
dc,2018-09-19-nwu-library-week,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my current work.
swc,2018-09-22-UTA,NA,NA
dc,2018-09-19-nwu-library-week,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-19-nwu-library-week,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my current work.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-13-edinburgh,Read about the workshop in a newsletter or on university website.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-10-01-UW-swc,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-19-nwu-library-week,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
swc,2018-10-08-Stonybrook-IACS-Python,Read about the workshop in a newsletter or on university website.,To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-10-01-UW-dc,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-Imperial,NA,NA
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-10-25-wsu,NA,NA
dc,2018-10-25-wsu,NA,NA
dc,2018-09-27-ukzn,NA,NA
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-11-14-mcgill,Heard about the workshop from a funding organization or program officer.,To learn new skills.;To refresh or review my skills.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-21-sc,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
swc,2018-09-21-sc,"Heard about the workshop at a conference, meeting, or seminar.",To learn new skills.
dc,2018-09-29-tamu-kingsville,NA,NA
swc,2018-09-24-koper,"Saw the workshop advertised on social media (Twitter, Facebook, etc.).",To learn new skills.;To refresh or review my skills.
swc,2018-09-24-python,NA,NA
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that will help me get a job or a promotion.
dc,2018-09-10-utoronto,A friend or colleague told me about the workshop.,To refresh or review my skills.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,A friend or colleague told me about the workshop.,To refresh or review my skills.;To share skills
dc,2018-09-19-nwu-library-week,Read about the workshop in a newsletter or on university website.;A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-09-22-UTA,NA,NA
dc,2018-09-10-utoronto,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.;A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,[workshop,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.;As a requirement for my program or current position.
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-12-new_england_tribes_USGS,My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
swc,2018-09-24-Imperial,NA,NA
swc,2018-09-24-CERTH,Heard about the workshop from a funding organization or program officer.,To learn skills that I can apply to my current work.
dc,2018-09-10-jax,Read about the workshop in a newsletter or on university website.,To learn skills that will help me get a job or a promotion.
swc,2018-09-24-koper,"Saw the workshop advertised on social media (Twitter, Facebook, etc.).",To learn new skills.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-10-01-UW-swc,Received an email or saw a flyer about the workshop.,To learn new skills.
swc,2018-09-21-sc,NA,NA
swc,2018-09-24-Imperial,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.
dc,2018-09-12-new_england_tribes_USGS,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
dc,2018-09-13-edinburgh,My advisor or supervisor told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;As a requirement for my program or current position.
swc,2018-09-24-koper,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-21-sc,NA,NA
swc,2018-09-24-koper,NA,NA
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,[workshop,NA,NA
dc,2018-09-10-utoronto,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
swc,2018-09-22-UTA,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my current work.
dc,2018-09-13-edinburgh,NA,NA
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-10-01-UW-swc,Received an email or saw a flyer about the workshop.,To refresh or review my skills.
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-10-01-UW-swc,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my current work.;As a requirement for my program or current position.
dc,2018-09-13-edinburgh,NA,NA
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;As a requirement for my program or current position.
swc,2018-09-24-Imperial,NA,NA
dc,2018-09-10-jax,NA,NA
dc,2018-09-03-DC-Wollo,Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;As a requirement for my program or current position.
dc,2018-09-19-nwu-library-week,"Received an email or saw a flyer about the workshop.;My advisor or supervisor told me about the workshop.;A friend or colleague told me about the workshop.;Heard about the workshop at a conference, meeting, or seminar.",To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-27-ukzn,Read about the workshop in a newsletter or on university website.,To learn new skills.;To learn skills that I can apply to my current work.
swc,2018-09-24-Imperial,My advisor or supervisor told me about the workshop.;A friend or colleague told me about the workshop.,To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;As a requirement for my program or current position.
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-22-UTA,NA,NA
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-12-new_england_tribes_USGS,A friend or colleague told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;As a requirement for my program or current position.
dc,2018-09-12-new_england_tribes_USGS,A friend or colleague told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my current work.
dc,2018-09-29-tamu-kingsville,My advisor or supervisor told me about the workshop.,To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.;As a requirement for my program or current position.
dc,2018-09-27-ukzn,My advisor or supervisor told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-19-nwu-library-week,NA,NA
swc,2018-09-22-UTA,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-09-22-UTA,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
dc,2018-09-27-ukzn,A friend or colleague told me about the workshop.,To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-10-01-UW-swc,NA,NA
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-CERTH,Received an email or saw a flyer about the workshop.,NA
swc,2018-09-24-CERTH,NA,NA
dc,2018-09-27-ukzn,A friend or colleague told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.
swc,2018-09-22-UTA,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-09-24-koper,My advisor or supervisor told me about the workshop.,To learn skills that I can apply to my work in the future.
swc,2018-09-24-Imperial,NA,NA
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-19-nwu-library-week,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,NA,NA
dc,2018-09-10-jax,MyJAX,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-09-24-CERTH,My advisor or supervisor told me about the workshop.,To learn new skills.
swc,2018-09-22-emory,"Saw the workshop listed on carpentries.org, datacarpentry.org, or software-carpentry.org.",To refresh or review my skills.
dc,2018-09-13-edinburgh,NA,NA
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,[workshop,NA,NA
swc,2018-09-24-Imperial,NA,NA
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2017-02-16-rc-days,NA,NA
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-10-01-UW-swc,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.;My advisor or supervisor told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,NA,NA
swc,2017-02-16-rc-days,My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
dc,2018-09-13-edinburgh,Blind Luck,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-10-utoronto,My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;As a requirement for my program or current position.
swc,2016-07-18-usq,"Saw the workshop advertised on social media (Twitter, Facebook, etc.).",To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.;A friend or colleague told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
dc,2018-09-13-edinburgh,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
swc,2018-09-22-UTA,Received an email or saw a flyer about the workshop.;My professor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
swc,2018-09-22-emory,NA,NA
dc,2018-09-19-nwu-library-week,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.
swc,2018-10-01-UW-swc,My advisor or supervisor told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-10-utoronto,NA,NA
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.,To learn skills that I can apply to my current work.
dc,2018-09-29-tamu-kingsville,NA,NA
dc,2018-09-27-ukzn,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2017-02-16-rc-days,Received an email or saw a flyer about the workshop.,To learn new skills.
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-10-01-UW-dc,NA,NA
dc,2018-09-10-jax,My advisor or supervisor told me about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-24-koper,NA,NA
swc,2018-09-21-sc,NA,NA
dc,NA,NA,NA
swc,2018-09-24-koper,Received an email or saw a flyer about the workshop.;Read about the workshop in a newsletter or on university website.,To learn new skills.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,Swansea-2018-09-20,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.;As a requirement for my program or current position.
swc,2018-09-24-Imperial,NA,NA
swc,2017-02-16-rc-days,Received an email or saw a flyer about the workshop.,To learn new skills.
dc,2018-09-13-edinburgh,Read about the workshop in a newsletter or on university website.,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-22-UTA,University email group,To refresh or review my skills.;To learn skills that I can apply to my work in the future.
dc,2018-09-12-new_england_tribes_USGS,Received an email or saw a flyer about the workshop.;A friend or colleague told me about the workshop.;We heard from a colleague and then requested to have one for tribes in NE,To learn new skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.
swc,2018-09-22-emory,Received an email or saw a flyer about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.;To learn Unix Shell
swc,2018-09-24-koper,My advisor or supervisor told me about the workshop.,To learn new skills.;To learn skills that I can apply to my work in the future.
swc,2018-09-22-UTA,Received an email or saw a flyer about the workshop.,To learn new skills.;To refresh or review my skills.;To learn skills that I can apply to my current work.;To learn skills that I can apply to my work in the future.;To learn skills that will help me get a job or a promotion.
dc,2018-09-13-edinburgh,My advisor or supervisor told me about the workshop.,To learn skills that I can apply to my current work.
swc,2018-09-20-illinois,My advisor or supervisor told me about the workshop.,To learn new skills.
